date,state,fips,cases,deaths
2021-03-26,Alabama,01,513580,10523
2021-03-26,Alaska,02,61744,299
2021-03-26,Arizona,04,838558,16898
2021-03-26,Arkansas,05,329695,5583
2021-03-26,California,06,3656693,58603
2021-03-26,Colorado,08,458106,6161
2021-03-26,Connecticut,09,305210,7865
2021-03-26,Delaware,10,93325,1536
2021-03-26,District of Columbia,11,43825,1055
2021-03-26,Florida,12,2033171,33115
2021-03-26,Georgia,13,1028447,18275
2021-03-26,Guam,66,8765,135
2021-03-26,Hawaii,15,29322,456
2021-03-26,Idaho,16,179313,1957
2021-03-26,Illinois,17,1236528,23472
2021-03-26,Indiana,18,685382,13002
2021-03-26,Iowa,19,349055,5716
2021-03-26,Kansas,20,303710,4891
2021-03-26,Kentucky,21,427650,6041
2021-03-26,Louisiana,22,443069,10087
2021-03-26,Maine,23,49443,731
2021-03-26,Maryland,24,405528,8232
2021-03-26,Massachusetts,25,624986,17051
2021-03-26,Michigan,26,718182,17015
2021-03-26,Minnesota,27,512175,6899
2021-03-26,Mississippi,28,304210,6998
2021-03-26,Missouri,29,582660,8910
2021-03-26,Montana,30,104107,1435
2021-03-26,Nebraska,31,208213,2280
2021-03-26,Nevada,32,302655,5226
2021-03-26,New Hampshire,33,82374,1231
2021-03-26,New Jersey,34,887479,24358
2021-03-26,New Mexico,35,190716,3925
2021-03-26,New York,36,1831605,49363
2021-03-26,North Carolina,37,911060,12049
2021-03-26,North Dakota,38,102414,1498
2021-03-26,Northern Mariana Islands,69,159,2
2021-03-26,Ohio,39,1008913,18526
2021-03-26,Oklahoma,40,436971,4850
2021-03-26,Oregon,41,163368,2384
2021-03-26,Pennsylvania,42,1010521,25013
2021-03-26,Puerto Rico,72,139240,2109
2021-03-26,Rhode Island,44,135775,2608
2021-03-26,South Carolina,45,546670,9092
2021-03-26,South Dakota,46,116833,1928
2021-03-26,Tennessee,47,792724,11713
2021-03-26,Texas,48,2775890,48126
2021-03-26,Utah,49,383771,2091
2021-03-26,Vermont,50,18498,224
2021-03-26,Virgin Islands,78,2888,26
2021-03-26,Virginia,51,612062,10154
2021-03-26,Washington,53,362403,5288
2021-03-26,West Virginia,54,139750,2628
2021-03-26,Wisconsin,55,633154,7272
2021-03-26,Wyoming,56,56046,695
