date,state,fips,cases,deaths
2021-03-22,Alabama,01,511779,10436
2021-03-22,Alaska,02,61034,296
2021-03-22,Arizona,04,836737,16745
2021-03-22,Arkansas,05,328707,5544
2021-03-22,California,06,3645558,57744
2021-03-22,Colorado,08,453045,6149
2021-03-22,Connecticut,09,299667,7841
2021-03-22,Delaware,10,92429,1531
2021-03-22,District of Columbia,11,43383,1050
2021-03-22,Florida,12,2011203,32778
2021-03-22,Georgia,13,1021299,17990
2021-03-22,Guam,66,8753,135
2021-03-22,Hawaii,15,28912,451
2021-03-22,Idaho,16,177929,1949
2021-03-22,Illinois,17,1226595,23379
2021-03-22,Indiana,18,681699,12947
2021-03-22,Iowa,19,346218,5676
2021-03-22,Kansas,20,302602,4850
2021-03-22,Kentucky,21,424716,5847
2021-03-22,Louisiana,22,441066,10030
2021-03-22,Maine,23,48642,729
2021-03-22,Maryland,24,400890,8184
2021-03-22,Massachusetts,25,615874,16894
2021-03-22,Michigan,26,696800,16904
2021-03-22,Minnesota,27,506444,6850
2021-03-22,Mississippi,28,302932,6956
2021-03-22,Missouri,29,579027,8824
2021-03-22,Montana,30,103227,1415
2021-03-22,Nebraska,31,207124,2244
2021-03-22,Nevada,32,301373,5174
2021-03-22,New Hampshire,33,80750,1217
2021-03-22,New Jersey,34,869037,24181
2021-03-22,New Mexico,35,189893,3894
2021-03-22,New York,36,1787934,48959
2021-03-22,North Carolina,37,903311,11865
2021-03-22,North Dakota,38,101732,1492
2021-03-22,Northern Mariana Islands,69,157,2
2021-03-22,Ohio,39,1001195,18340
2021-03-22,Oklahoma,40,435450,4788
2021-03-22,Oregon,41,161800,2377
2021-03-22,Pennsylvania,42,993622,24839
2021-03-22,Puerto Rico,72,138358,2098
2021-03-22,Rhode Island,44,134039,2604
2021-03-22,South Carolina,45,542203,9027
2021-03-22,South Dakota,46,115972,1923
2021-03-22,Tennessee,47,787263,11610
2021-03-22,Texas,48,2758353,47616
2021-03-22,Utah,49,381788,2062
2021-03-22,Vermont,50,17839,219
2021-03-22,Virgin Islands,78,2767,25
2021-03-22,Virginia,51,605969,10129
2021-03-22,Washington,53,358727,5232
2021-03-22,West Virginia,54,138102,2612
2021-03-22,Wisconsin,55,629994,7241
2021-03-22,Wyoming,56,55730,693
